Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
A00030,86228,,Salaried,29,Single,3.0,853,0,0.52,247495,1656566.0,366314,36,Business,Semi-Urban,Graduate,Male,Private,Yes
A00031,117099,76556.0,Unemployed,51,Married,3.0,889,3,0.61,373845,,62364,24,Personal,Semi-Urban,Postgraduate,Male,Private,Yes
A00032,103114,,Business,29,Married,0.0,469,3,0.46,565069,,1354967,180,Business,Urban,Postgraduate,Male,Govt,No
A00033,83198,,Unemployed,41,Single,0.0,516,3,0.25,402542,,757789,180,Home,Semi-Urban,Graduate,Male,Self,No
A00034,25553,98858.0,Salaried,22,Married,3.0,553,1,0.38,164784,1050530.0,1353035,180,Personal,Semi-Urban,Graduate,Male,Govt,No
A00035,96536,14168.0,Business,45,Married,0.0,619,4,0.46,754747,881855.0,881844,180,Personal,Rural,Undergraduate,Male,Self,No
A00036,25766,,Salaried,53,Single,2.0,679,0,0.59,362806,,1407996,180,Business,Rural,Graduate,Female,Govt,No
A00037,151772,,Salaried,50,Married,2.0,851,3,0.29,771536,,963465,60,Education,Semi-Urban,Undergraduate,Female,Private,Yes
A00038,22523,,Business,34,Single,4.0,486,3,0.63,275902,,794121,12,Education,Urban,Graduate,Female,Private,No
A00039,160536,99374.0,Business,52,Married,2.0,787,5,0.23,23080,,989890,180,Personal,Semi-Urban,Undergraduate,Female,Private,Yes
A00040,159281,,Business,40,Married,1.0,764,2,0.29,246736,556067.0,577231,24,Business,Semi-Urban,Undergraduate,Female,Govt,Yes
A00041,65886,38829.0,Salaried,40,Single,,669,1,0.26,747411,2290324.0,79671,24,Business,Urban,Graduate,Female,Private,Yes
A00042,140492,,Business,37,Married,1.0,488,0,0.4,124629,,1051870,24,Personal,Urban,Graduate,Male,Self,No
A00043,124097,79471.0,Business,49,Married,4.0,835,3,0.28,316797,,978453,180,Home,Urban,Undergraduate,Male,Private,Yes
A00044,188127,10641.0,Business,56,Single,2.0,545,1,0.37,169136,,207422,12,Education,Semi-Urban,Undergraduate,Female,Self,No
A00045,134021,9329.0,Unemployed,58,Married,2.0,570,5,0.43,212428,1833162.0,1436601,240,Education,Urban,Graduate,Male,Private,No
A00046,170987,,Business,50,Single,3.0,749,0,0.67,323862,,1494262,12,Home,Semi-Urban,Undergraduate,Female,Self,Yes
A00047,80632,3390.0,Unemployed,57,Single,4.0,534,5,0.45,26753,,1281286,180,Business,Semi-Urban,Graduate,Female,Self,No
A00048,143902,,Business,42,Single,2.0,656,3,0.3,707685,488723.0,723307,180,Business,Rural,Graduate,Female,Govt,No
A00049,97448,,Salaried,53,Single,4.0,418,3,0.35,694606,,52413,240,Business,Rural,Postgraduate,Male,Govt,No
A00050,85007,71987.0,Self-Employed,52,Married,4.0,594,3,0.53,35271,2692504.0,304648,60,Home,Urban,Graduate,Female,Govt,No
A00051,184793,,Salaried,38,Single,1.0,598,4,0.37,510937,2030633.0,921346,120,Education,Urban,Postgraduate,Female,Private,No
A00052,148100,35018.0,Self-Employed,40,Single,2.0,589,5,0.62,613093,,1280897,36,Business,Semi-Urban,Postgraduate,Male,Self,No
A00053,77601,,Business,23,Married,3.0,539,3,0.33,785879,,717264,12,Education,Rural,Undergraduate,Female,Govt,No
A00054,130423,,Self-Employed,30,Single,4.0,315,5,0.38,691587,697437.0,909787,180,Business,Rural,Graduate,Female,Self,No
A00055,154885,,Business,23,Married,3.0,799,4,0.7,76744,,1344906,12,Home,Semi-Urban,Graduate,Female,Govt,No
A00056,27056,42516.0,Salaried,44,Married,1.0,600,2,0.44,157640,,953215,12,Business,Rural,Undergraduate,Male,Private,No
A00057,167871,18758.0,Self-Employed,37,Single,,772,5,0.64,272729,2846932.0,1013789,120,Education,Urban,Postgraduate,Female,Self,No
A00058,93421,,Business,40,Single,4.0,556,3,0.24,408380,2076721.0,467788,36,Personal,Urban,Undergraduate,Female,Private,No
A00059,17122,74177.0,Business,35,Married,,808,2,0.47,374435,968571.0,1323107,12,Home,Semi-Urban,Postgraduate,Male,Self,No
A00060,110646,95991.0,Self-Employed,41,Single,1.0,392,2,0.57,189171,892194.0,921373,36,Business,Semi-Urban,Undergraduate,Female,Govt,No
A00061,137770,9869.0,Business,46,Married,3.0,531,5,0.11,388542,,1218769,36,Personal,Rural,Postgraduate,Female,Govt,No
A00062,191904,,Self-Employed,56,Single,,325,4,0.48,644717,978481.0,737879,60,Home,Urban,Graduate,Male,Private,No
A00063,144138,15220.0,Business,29,Married,3.0,540,4,0.45,480679,,865049,180,Home,Semi-Urban,Undergraduate,Female,Private,No
A00064,23576,,Business,49,Single,0.0,522,3,0.43,385303,,545164,60,Personal,Urban,Graduate,Female,Govt,No
A00065,188740,27801.0,Business,36,Married,4.0,351,2,0.6,597002,910694.0,314081,24,Education,Semi-Urban,Graduate,Male,Private,No
A00066,52929,,Salaried,22,Married,2.0,478,0,0.45,20582,1552577.0,326411,12,Education,Rural,Postgraduate,Male,Self,No
A00067,31661,,Salaried,58,Single,3.0,670,4,0.67,478962,2163252.0,278702,180,Home,Urban,Postgraduate,Female,Private,No
A00068,194856,,Business,26,Single,3.0,754,0,0.18,642846,672157.0,725517,120,Personal,Semi-Urban,Undergraduate,Female,Govt,Yes
A00069,198967,14996.0,Salaried,35,Single,3.0,740,3,0.35,360395,,917829,36,Personal,Semi-Urban,Graduate,Female,Govt,Yes
A00070,38914,11188.0,Self-Employed,44,Single,,742,0,0.5,588397,,322871,240,Business,Rural,Graduate,Female,Self,Yes
A00071,96906,46090.0,Self-Employed,34,Single,0.0,891,4,0.61,693637,2072448.0,374492,240,Personal,Rural,Graduate,Female,Self,Yes
A00072,177981,80422.0,Unemployed,32,Married,4.0,573,0,0.31,741833,,623089,180,Business,Urban,Graduate,Male,Govt,Yes
A00073,154062,,Business,42,Married,0.0,729,3,0.57,393028,,380111,24,Education,Rural,Graduate,Male,Private,Yes
A00074,131159,,Salaried,49,Single,,797,4,0.31,291436,954161.0,918606,180,Business,Rural,Undergraduate,Female,Govt,Yes
A00075,72807,51807.0,Salaried,40,Single,,307,1,0.3,148901,,492989,60,Education,Urban,Postgraduate,Male,Self,No
A00076,161466,,Business,23,Single,4.0,373,3,0.62,24651,1978349.0,964818,60,Business,Semi-Urban,Graduate,Female,Govt,No
A00077,100136,,Self-Employed,48,Single,,670,0,0.41,260135,,272011,36,Education,Semi-Urban,Graduate,Male,Self,Yes
A00078,180996,14945.0,Business,30,Married,,657,2,0.22,112798,,545491,12,Education,Rural,Postgraduate,Female,Self,Yes
A00079,166904,,Business,49,Married,2.0,623,1,0.58,496699,,193206,120,Home,Semi-Urban,Postgraduate,Female,Govt,No
A00080,29913,,Business,26,Married,3.0,378,5,0.38,627937,,1339766,240,Education,Semi-Urban,Undergraduate,Female,Self,No
A00081,54547,,Unemployed,26,Single,4.0,405,2,0.25,682513,773764.0,1108115,120,Education,Semi-Urban,Postgraduate,Female,Private,No
A00082,122156,44350.0,Unemployed,42,Married,2.0,642,0,0.27,590066,,248193,12,Education,Semi-Urban,Postgraduate,Female,Govt,Yes
A00083,170986,92908.0,Self-Employed,45,Single,0.0,617,4,0.49,349432,586005.0,1399503,36,Personal,Urban,Graduate,Female,Private,No
A00084,65333,29693.0,Business,39,Married,4.0,458,0,0.5,537351,2313962.0,262107,60,Education,Urban,Graduate,Male,Self,No
A00085,129733,,Salaried,36,Single,3.0,673,5,0.24,645255,,981552,240,Education,Semi-Urban,Undergraduate,Female,Private,No
A00086,88864,,Business,59,Married,,465,1,0.62,267147,,340242,240,Home,Semi-Urban,Graduate,Male,Private,No
A00087,132786,67286.0,Business,35,Single,1.0,747,0,0.13,371566,,996083,60,Home,Semi-Urban,Graduate,Male,Private,Yes
A00088,40974,,Self-Employed,23,Single,4.0,449,1,0.56,500404,2969537.0,651629,12,Home,Urban,Postgraduate,Male,Govt,No
A00089,158865,,Business,36,Single,0.0,413,2,0.35,132767,250275.0,681559,12,Business,Rural,Undergraduate,Male,Self,No
A00090,150102,75372.0,Unemployed,48,Married,4.0,447,2,0.44,649674,1529817.0,53280,36,Home,Rural,Undergraduate,Male,Private,No
A00091,138243,,Business,22,Married,4.0,682,2,0.54,75841,1496206.0,798880,180,Personal,Urban,Graduate,Female,Self,No
A00092,103748,84252.0,Self-Employed,51,Married,2.0,775,5,0.53,196132,615612.0,1374846,24,Home,Urban,Graduate,Female,Private,No
A00093,150104,,Self-Employed,33,Single,3.0,559,0,0.26,379314,,650018,180,Business,Semi-Urban,Postgraduate,Male,Private,Yes
A00094,196421,,Self-Employed,26,Married,0.0,831,2,0.43,87760,1856097.0,940240,36,Personal,Semi-Urban,Postgraduate,Female,Govt,Yes
A00095,195817,,Unemployed,43,Single,2.0,757,0,0.15,461068,1201568.0,1339437,120,Education,Urban,Graduate,Female,Govt,Yes
A00096,48090,8812.0,Unemployed,45,Single,3.0,675,2,0.51,38958,2587951.0,1239598,240,Home,Rural,Graduate,Female,Private,No
A00097,97414,,Salaried,22,Single,2.0,555,0,0.65,528285,,440171,180,Business,Urban,Undergraduate,Female,Self,No
A00098,143765,26237.0,Self-Employed,49,Single,,438,0,0.59,753022,1916931.0,412086,12,Personal,Semi-Urban,Graduate,Male,Private,No
A00099,148367,29391.0,Business,36,Married,4.0,505,1,0.38,32560,,1086039,12,Home,Semi-Urban,Postgraduate,Female,Self,No
A00100,122687,53665.0,Unemployed,25,Married,1.0,428,2,0.18,493461,,993664,60,Home,Urban,Undergraduate,Male,Private,No
A00101,58163,,Business,54,Single,1.0,530,2,0.48,87690,1101114.0,645692,180,Personal,Rural,Undergraduate,Male,Self,No
A00102,183031,22103.0,Salaried,60,Married,0.0,475,5,0.6,359019,2413985.0,1319068,180,Personal,Rural,Graduate,Female,Self,No
A00103,182507,,Salaried,40,Married,1.0,858,2,0.28,261773,,1062808,60,Business,Semi-Urban,Postgraduate,Male,Private,Yes
A00104,174032,,Unemployed,43,Married,2.0,626,5,0.29,142118,1604158.0,886169,60,Education,Urban,Graduate,Male,Private,No
A00105,115702,,Unemployed,41,Single,3.0,554,1,0.56,761157,1361621.0,1261497,36,Business,Urban,Graduate,Female,Self,No
A00106,134860,31552.0,Salaried,24,Married,3.0,897,2,0.27,300023,,155990,24,Personal,Rural,Postgraduate,Female,Private,Yes
A00107,26860,52505.0,Self-Employed,33,Single,4.0,883,4,0.33,585096,1260483.0,810267,180,Home,Urban,Graduate,Female,Private,Yes
A00108,103889,,Salaried,59,Single,3.0,447,1,0.13,425884,2147478.0,1117707,120,Business,Urban,Undergraduate,Male,Private,No
A00109,175712,41750.0,Self-Employed,40,Single,0.0,702,4,0.53,357713,,1295130,36,Personal,Rural,Graduate,Female,Self,No
A00110,95655,95069.0,Business,58,Single,1.0,785,2,0.2,243596,,1261387,240,Education,Urban,Undergraduate,Male,Govt,Yes
A00111,19964,,Business,47,Married,,728,1,0.62,218795,,1498084,24,Education,Rural,Postgraduate,Female,Self,No
A00112,113782,41124.0,Salaried,42,Married,2.0,770,4,0.47,376496,,1195617,120,Personal,Urban,Postgraduate,Female,Self,No
A00113,69336,,Business,43,Single,3.0,624,3,0.17,761719,,1225427,240,Personal,Urban,Postgraduate,Male,Private,No
A00114,35717,,Business,51,Single,1.0,562,5,0.66,216883,,498762,12,Education,Urban,Graduate,Male,Self,No
A00115,76036,6880.0,Unemployed,51,Single,,723,2,0.68,719281,626578.0,260857,60,Business,Rural,Graduate,Female,Private,Yes
A00116,89819,84659.0,Salaried,57,Married,3.0,391,5,0.35,566147,206440.0,537001,240,Business,Urban,Undergraduate,Female,Govt,No
A00117,17429,39110.0,Salaried,50,Single,2.0,643,2,0.63,574691,,1394929,24,Home,Semi-Urban,Graduate,Female,Self,No
A00118,82440,94188.0,Business,42,Single,3.0,314,5,0.21,600361,2878643.0,668710,120,Personal,Urban,Postgraduate,Male,Govt,No
A00119,51860,,Self-Employed,37,Married,2.0,554,0,0.67,251961,,854413,180,Personal,Rural,Graduate,Male,Self,No
A00120,45991,,Salaried,53,Married,1.0,463,3,0.32,728821,,702168,60,Education,Semi-Urban,Undergraduate,Female,Private,No
A00121,199009,,Business,34,Single,0.0,850,5,0.42,718390,2549026.0,568972,120,Home,Urban,Undergraduate,Male,Self,Yes
A00122,155682,19641.0,Business,49,Single,0.0,635,4,0.15,718341,,293772,60,Education,Rural,Postgraduate,Female,Self,Yes
A00123,30135,,Salaried,22,Single,2.0,615,5,0.45,271817,62647.0,880364,180,Home,Rural,Graduate,Male,Private,No
A00124,23319,,Business,47,Married,,484,1,0.33,406058,,835301,240,Personal,Urban,Graduate,Female,Self,No
A00125,48383,95401.0,Salaried,40,Married,3.0,303,0,0.42,711215,,1020989,36,Education,Semi-Urban,Graduate,Male,Govt,No
A00126,188066,54950.0,Business,25,Married,1.0,546,1,0.46,627795,,261595,180,Home,Semi-Urban,Postgraduate,Male,Self,No
A00127,71955,98878.0,Business,39,Single,1.0,443,4,0.45,772051,,541072,36,Education,Rural,Undergraduate,Male,Private,No
A00128,93774,36064.0,Unemployed,32,Single,4.0,870,4,0.13,716721,,1362802,36,Business,Semi-Urban,Graduate,Female,Private,Yes
A00129,63202,,Business,40,Married,3.0,546,1,0.68,490517,,352727,24,Personal,Urban,Postgraduate,Male,Private,No
A00130,112275,12119.0,Salaried,45,Married,3.0,352,2,0.62,639356,2578838.0,1462792,24,Personal,Semi-Urban,Graduate,Male,Govt,No
A00131,45753,,Self-Employed,59,Single,4.0,548,5,0.57,420898,,478895,180,Personal,Semi-Urban,Postgraduate,Female,Self,No
A00132,145358,61080.0,Salaried,34,Married,0.0,780,2,0.44,333122,1786148.0,827424,36,Business,Semi-Urban,Graduate,Male,Private,Yes
A00133,75298,49786.0,Business,42,Single,1.0,811,4,0.38,517356,,589653,24,Business,Urban,Undergraduate,Male,Self,Yes
A00134,23866,9742.0,Business,29,Single,2.0,306,3,0.11,247675,335078.0,1372677,12,Business,Rural,Postgraduate,Male,Govt,No
A00135,154516,,Business,54,Single,1.0,312,0,0.4,566762,1252458.0,626173,12,Home,Rural,Graduate,Male,Govt,No
A00136,177471,,Business,46,Married,2.0,662,2,0.44,396172,,215715,180,Home,Rural,Undergraduate,Male,Govt,No
A00137,121241,,Self-Employed,24,Single,4.0,865,3,0.15,14909,2997946.0,1385357,240,Home,Rural,Graduate,Male,Govt,Yes
A00138,196479,,Self-Employed,25,Married,1.0,577,0,0.21,298992,2327635.0,1485351,120,Education,Rural,Postgraduate,Male,Private,No
A00139,57585,73919.0,Self-Employed,55,Married,0.0,880,3,0.4,407491,636995.0,745687,60,Education,Urban,Postgraduate,Female,Private,No
A00140,22766,,Business,35,Single,0.0,761,3,0.21,584902,,796190,240,Personal,Urban,Undergraduate,Male,Govt,Yes
A00141,85247,,Self-Employed,45,Single,2.0,457,5,0.1,383221,496906.0,714122,240,Personal,Urban,Graduate,Male,Govt,No
A00142,127978,,Salaried,26,Single,3.0,405,0,0.62,586141,,792212,60,Home,Rural,Undergraduate,Male,Self,No
A00143,151604,,Unemployed,38,Single,3.0,473,1,0.14,286444,2118311.0,681518,36,Business,Urban,Postgraduate,Female,Govt,No
A00144,178848,64985.0,Self-Employed,29,Single,3.0,768,0,0.6,12096,,688914,36,Business,Rural,Undergraduate,Male,Private,Yes
A00145,99060,79064.0,Salaried,32,Single,3.0,790,2,0.68,339640,,885168,36,Business,Semi-Urban,Graduate,Male,Self,Yes
A00146,158033,23583.0,Self-Employed,34,Single,1.0,772,5,0.59,310482,2955961.0,969506,180,Personal,Urban,Postgraduate,Male,Self,No
A00147,125920,49412.0,Self-Employed,51,Married,0.0,759,4,0.43,425274,,1271054,240,Education,Rural,Undergraduate,Female,Govt,No
A00148,184607,80304.0,Salaried,46,Married,3.0,876,5,0.16,456365,494363.0,745408,36,Business,Semi-Urban,Undergraduate,Male,Private,Yes
A00149,21438,63277.0,Self-Employed,26,Married,4.0,602,3,0.29,770618,,293415,60,Personal,Semi-Urban,Graduate,Female,Self,Yes
A00150,197652,,Salaried,23,Married,4.0,368,2,0.51,28682,1488973.0,291351,24,Education,Semi-Urban,Undergraduate,Female,Private,No
A00151,75779,53090.0,Self-Employed,48,Single,0.0,490,5,0.37,35610,2625751.0,879596,180,Education,Urban,Postgraduate,Male,Self,No
A00152,41673,70371.0,Business,33,Single,4.0,674,2,0.42,124490,,1009552,60,Business,Rural,Graduate,Female,Private,No
A00153,135025,80918.0,Self-Employed,58,Married,1.0,604,4,0.17,709758,,227737,36,Education,Rural,Postgraduate,Female,Self,Yes
A00154,51141,,Self-Employed,52,Single,1.0,733,1,0.43,568483,2958468.0,1382743,24,Personal,Semi-Urban,Undergraduate,Male,Private,No
A00155,17512,63518.0,Self-Employed,56,Single,3.0,499,3,0.51,689793,,1109980,24,Home,Rural,Graduate,Male,Private,No
A00156,23570,36025.0,Self-Employed,31,Single,4.0,850,2,0.44,598127,2127494.0,1009072,240,Home,Rural,Postgraduate,Male,Private,No
A00157,41847,96467.0,Salaried,49,Married,1.0,604,0,0.62,370509,,601163,240,Personal,Rural,Undergraduate,Female,Govt,Yes
A00158,176520,18249.0,Business,57,Single,2.0,511,0,0.29,563136,1228956.0,785713,120,Personal,Rural,Undergraduate,Male,Govt,Yes
A00159,122897,,Business,29,Single,3.0,429,5,0.56,158347,1400971.0,573611,24,Personal,Rural,Postgraduate,Female,Private,No
A00160,34796,83050.0,Unemployed,38,Married,,712,4,0.45,481782,,823998,60,Personal,Urban,Undergraduate,Female,Govt,No
A00161,127628,,Self-Employed,39,Single,,574,2,0.44,578896,2474029.0,758323,240,Home,Urban,Graduate,Female,Govt,No
A00162,47568,,Self-Employed,48,Married,,767,0,0.2,727040,,474292,36,Personal,Urban,Postgraduate,Male,Govt,Yes
A00163,118898,,Business,26,Married,4.0,539,3,0.15,6139,,249614,180,Business,Urban,Graduate,Female,Govt,No
A00164,125707,90968.0,Unemployed,35,Married,3.0,789,0,0.29,98670,479610.0,853355,240,Education,Rural,Undergraduate,Male,Govt,Yes
A00165,154069,73831.0,Self-Employed,43,Married,0.0,468,3,0.47,663589,,496809,12,Education,Urban,Undergraduate,Female,Private,No
A00166,127561,41222.0,Business,26,Married,,553,2,0.57,585278,,570443,36,Education,Rural,Undergraduate,Male,Self,No
A00167,117695,38737.0,Unemployed,45,Single,2.0,545,3,0.42,257792,2145401.0,286440,24,Business,Rural,Postgraduate,Female,Self,No
A00168,194029,,Salaried,58,Single,4.0,374,0,0.12,19463,1149684.0,191626,36,Business,Semi-Urban,Undergraduate,Female,Govt,Yes
A00169,182913,70328.0,Self-Employed,40,Married,2.0,584,0,0.42,541141,902272.0,215720,180,Business,Rural,Graduate,Male,Govt,No
A00170,37600,56948.0,Business,59,Married,,764,4,0.17,329314,2843740.0,165403,12,Education,Semi-Urban,Postgraduate,Female,Govt,Yes
A00171,112483,,Business,42,Married,3.0,420,0,0.26,290192,2247203.0,950358,60,Personal,Urban,Postgraduate,Male,Private,No
A00172,56237,33438.0,Salaried,28,Married,0.0,887,5,0.13,781764,2184166.0,528998,60,Personal,Semi-Urban,Graduate,Male,Govt,Yes
A00173,159930,,Business,36,Single,0.0,529,2,0.6,760276,,922953,120,Home,Urban,Graduate,Male,Private,No
A00174,33068,,Business,26,Single,,618,2,0.22,483933,,1209916,120,Education,Semi-Urban,Postgraduate,Female,Govt,No
A00175,158277,99677.0,Business,47,Married,2.0,454,0,0.48,249315,,100143,12,Business,Rural,Undergraduate,Female,Govt,No
A00176,68790,69443.0,Salaried,24,Single,,729,3,0.13,751221,1223672.0,348578,36,Business,Rural,Graduate,Male,Self,Yes
A00177,49999,,Self-Employed,57,Single,3.0,376,4,0.24,461112,2828491.0,180616,180,Personal,Semi-Urban,Postgraduate,Female,Govt,No
A00178,34578,26569.0,Salaried,30,Single,1.0,898,0,0.29,177359,,271580,60,Personal,Semi-Urban,Postgraduate,Male,Govt,Yes
A00179,56317,,Salaried,41,Single,2.0,341,1,0.34,100643,,361057,240,Education,Urban,Postgraduate,Female,Self,No
A00180,159210,32748.0,Self-Employed,29,Single,,773,0,0.18,17537,308659.0,304705,180,Home,Rural,Undergraduate,Female,Govt,Yes
A00181,20714,8450.0,Business,26,Single,,754,1,0.13,133479,,745310,60,Business,Urban,Postgraduate,Female,Govt,Yes
A00182,107784,28143.0,Self-Employed,49,Single,4.0,581,2,0.49,41332,2625749.0,361702,60,Home,Urban,Postgraduate,Female,Govt,No
A00183,124899,26143.0,Business,45,Single,3.0,856,0,0.31,507985,,803112,36,Education,Urban,Postgraduate,Male,Govt,Yes
A00184,88644,,Self-Employed,58,Married,1.0,842,2,0.49,172378,469993.0,538137,120,Business,Semi-Urban,Graduate,Male,Govt,No
A00185,170325,,Self-Employed,43,Single,1.0,328,5,0.6,595984,646020.0,1240451,60,Home,Urban,Graduate,Male,Self,No
A00186,72359,,Self-Employed,60,Married,0.0,300,2,0.65,141828,1479247.0,472501,24,Education,Urban,Undergraduate,Female,Govt,No
A00187,112934,,Self-Employed,42,Single,,900,0,0.54,343273,622319.0,682847,36,Education,Rural,Undergraduate,Female,Govt,Yes
A00188,189465,77194.0,Business,39,Married,1.0,687,2,0.61,191340,,317068,120,Personal,Rural,Graduate,Male,Private,No
A00189,51868,43406.0,Self-Employed,41,Married,1.0,543,2,0.37,672090,,402085,180,Home,Semi-Urban,Postgraduate,Male,Self,No
A00190,15335,,Self-Employed,47,Married,3.0,748,5,0.31,439130,,398836,240,Education,Urban,Postgraduate,Male,Govt,Yes
A00191,92308,,Business,25,Married,2.0,567,0,0.54,183368,1624784.0,766823,120,Business,Rural,Graduate,Female,Self,No
A00192,58253,,Business,27,Single,,460,0,0.52,220535,,744355,36,Personal,Urban,Graduate,Male,Private,No
A00193,164886,,Business,44,Single,1.0,457,0,0.59,453377,,58001,12,Home,Urban,Graduate,Female,Govt,No
A00194,139143,,Self-Employed,52,Single,1.0,707,3,0.21,282877,,1436301,60,Home,Semi-Urban,Postgraduate,Female,Private,Yes
A00195,74308,35200.0,Business,27,Married,4.0,454,5,0.68,705596,,229741,12,Business,Rural,Postgraduate,Female,Self,No
A00196,76772,,Self-Employed,23,Married,1.0,380,3,0.17,603967,2217689.0,1102983,24,Education,Urban,Graduate,Female,Govt,No
A00197,194077,57067.0,Unemployed,37,Single,2.0,451,4,0.33,767422,331068.0,720563,120,Business,Urban,Undergraduate,Female,Govt,No
A00198,123643,19613.0,Business,58,Single,3.0,880,4,0.57,115766,2410066.0,260143,36,Business,Rural,Postgraduate,Female,Govt,Yes
A00199,60141,,Self-Employed,59,Married,0.0,447,4,0.34,732356,1734935.0,1477768,180,Business,Semi-Urban,Postgraduate,Male,Private,No
A00200,94444,,Self-Employed,27,Single,,803,5,0.56,145913,,528061,60,Home,Urban,Postgraduate,Male,Private,No
A00201,141998,,Business,31,Married,1.0,357,4,0.18,331236,,187608,24,Education,Urban,Graduate,Male,Private,No
A00202,28253,47235.0,Salaried,50,Single,3.0,580,2,0.51,421224,2715101.0,1109326,120,Business,Urban,Postgraduate,Female,Private,No
A00203,57864,33903.0,Business,45,Married,,591,0,0.61,175820,2450224.0,154125,24,Personal,Rural,Postgraduate,Male,Self,No
A00204,17332,62140.0,Unemployed,21,Single,3.0,477,4,0.53,269650,,519279,60,Personal,Semi-Urban,Postgraduate,Male,Private,No
A00205,94205,,Salaried,21,Single,0.0,898,0,0.28,699530,,1122722,36,Personal,Rural,Postgraduate,Female,Private,Yes
